,cluster_no,rep_member,member_ID,n_members,n_SAVs
562,642,Q9H6W3,"Q9H6W3,Q8IUF8",2,5.0
563,936,Q9BXK5,Q9BXK5,1,5.0
564,389,Q9UI17,Q9UI17,1,5.0
565,1117,Q99983,Q99983,1,5.0
566,1350,P20933,P20933,1,5.0
567,830,Q8N159,Q8N159,1,5.0
568,1516,Q5VVY1,Q5VVY1,1,5.0
569,1465,O76036,"O76036,P24071",2,5.0
570,1466,Q9BRQ3,Q9BRQ3,1,5.0
571,922,O95822,O95822,1,5.0
572,695,P35354,P35354,1,5.0
573,631,Q16881,"Q16881,Q9NNW7",2,5.0
574,303,P49588,P49588,1,5.0
575,209,Q00722,Q00722,1,5.0
576,976,Q8TBK2,Q8TBK2,1,5.0
577,815,O00294,O00294,1,5.0
578,910,P05546,P05546,1,5.0
579,380,Q05086,Q05086,1,5.0
580,314,Q9BXB1,"Q9BXB1,O75473",2,5.0
581,835,O43175,O43175,1,5.0
582,953,Q14790,"Q14790,P55210,P55212",3,5.0
583,485,P11387,P11387,1,5.0
584,798,Q9BVS4,Q9BVS4,1,5.0
585,1211,Q8NBL1,Q8NBL1,1,5.0
586,514,Q15027,Q15027,1,5.0
587,670,O43252,"O43252,O95340",2,5.0
588,190,Q12791,"Q12791,A8MYU2",2,5.0
589,748,Q08AH3,Q08AH3,1,5.0
590,355,Q8TCG1,Q8TCG1,1,5.0
591,183,Q9UBZ9,Q9UBZ9,1,5.0
592,559,Q96EF0,"Q96EF0,Q13614,Q9Y217",3,5.0
593,1428,Q10588,Q10588,1,5.0
594,1610,P60174,P60174,1,5.0
595,555,Q969H0,Q969H0,1,5.0
596,1656,P02741,"P02741,P02743",2,5.0
597,141,Q76LX8,Q76LX8,1,5.0
598,553,P49959,P49959,1,5.0
599,1770,P10916,P10916,1,5.0
600,484,Q9NRH2,"Q9NRH2,Q9P1W9",2,5.0
601,1273,Q9BV79,Q9BV79,1,5.0
602,871,O00481,"O00481,P78410",2,5.0
603,520,Q9NY33,Q9NY33,1,5.0
604,546,P51617,P51617,1,5.0
605,1694,Q9NP95,"Q9NP95,P31371,P05230",3,5.0
606,341,P40189,P40189,1,5.0
607,236,Q02846,Q02846,1,5.0
608,363,P56192,P56192,1,5.0
609,506,O00391,O00391,1,5.0
610,1030,P17735,P17735,1,5.0
611,1633,P28072,"P28072,P28065",2,5.0
612,181,Q96PY6,"Q96PY6,Q8TDX7",2,5.0
613,39,P11717,P11717,1,5.0
614,1561,O43819,O43819,1,5.0
615,232,Q9NZJ5,Q9NZJ5,1,5.0
616,899,P14868,P14868,1,5.0
617,1014,Q9Y5C1,Q9Y5C1,1,5.0
618,1622,Q15848,Q15848,1,5.0
619,800,O15389,"O15389,P20138",2,5.0
620,1620,P51580,P51580,1,5.0
621,1387,Q9H0P0,Q9H0P0,1,5.0
622,295,Q16513,"Q16513,Q16512",2,4.0
623,1425,P32322,P32322,1,4.0
624,1274,P56589,P56589,1,4.0
625,881,P09622,P09622,1,4.0
626,1354,P02749,P02749,1,4.0
627,890,Q9C0B1,Q9C0B1,1,4.0
628,218,Q8WUM0,Q8WUM0,1,4.0
629,909,Q99640,Q99640,1,4.0
630,1419,P51946,P51946,1,4.0
631,1485,P29372,P29372,1,4.0
632,819,O43353,O43353,1,4.0
633,1275,Q96LB8,"Q96LB8,Q96LB9,O75594",3,4.0
634,680,Q13490,Q13490,1,4.0
635,41,P02751,P02751,1,4.0
636,1276,O95568,O95568,1,4.0
637,1383,Q96C86,Q96C86,1,4.0
638,289,Q13472,"Q13472,O95985",2,4.0
639,1463,O75716,O75716,1,4.0
640,846,P56282,P56282,1,4.0
641,94,P02462,P02462,1,4.0
642,222,O14746,O14746,1,4.0
643,282,P98073,"P98073,P00746,P20718",3,4.0
644,849,Q9UI10,Q9UI10,1,4.0
645,781,Q96LW4,Q96LW4,1,4.0
646,1255,Q86WV6,Q86WV6,1,4.0
647,1439,P30519,"P30519,P09601",2,4.0
648,900,O15488,"O15488,P46976",2,4.0
649,774,Q9H6X2,"Q9H6X2,P58335",2,4.0
650,1260,Q9UNM6,Q9UNM6,1,4.0
651,101,P26358,P26358,1,4.0
652,1306,O95551,O95551,1,4.0
653,283,Q9Y2M0,Q9Y2M0,1,4.0
654,721,P30153,P30153,1,4.0
655,965,Q96NX5,"Q96NX5,Q8IU85,Q14012",3,4.0
656,1122,Q9HCJ6,"Q9HCJ6,Q08257",2,4.0
657,278,Q9BYX4,Q9BYX4,1,4.0
658,755,Q8N6P7,Q8N6P7,1,4.0
659,108,Q13576,Q13576,1,4.0
660,106,P51531,P51531,1,4.0
661,838,O60678,O60678,1,4.0
662,840,P52292,P52292,1,4.0
663,1368,Q14565,"Q14565,Q06609",2,4.0
664,228,Q7Z2Z2,Q7Z2Z2,1,4.0
665,1247,Q9Y3R4,Q9Y3R4,1,4.0
666,893,P22680,P22680,1,4.0
667,240,P53992,"P53992,O94855",2,4.0
668,1294,P51582,P51582,1,4.0
669,728,Q8N807,Q8N807,1,4.0
670,531,P49711,P49711,1,4.0
671,356,O15455,O15455,1,4.0
672,1615,P31947,"P31947,P61981",2,4.0
673,353,P35221,P35221,1,4.0
674,1012,Q9NWZ3,Q9NWZ3,1,4.0
675,351,Q13200,Q13200,1,4.0
676,429,P07332,P07332,1,4.0
677,1172,O14965,"O14965,Q96GD4",2,4.0
678,33,O75417,O75417,1,4.0
679,1617,Q5VY80,"Q5VY80,Q9BZM4",2,4.0
680,1003,Q9P2R7,Q9P2R7,1,4.0
681,139,P29475,"P29475,P35228",2,4.0
682,576,P78362,"P78362,Q96SB4",2,4.0
683,220,P20585,P20585,1,4.0
684,1590,P30048,"P30048,Q06830",2,4.0
685,1379,P40926,P40926,1,4.0
686,443,Q2NL82,Q2NL82,1,4.0
687,1344,Q9P2T1,"Q9P2T1,P36959",2,4.0
688,957,Q9UMR2,"Q9UMR2,Q14240",2,4.0
689,1035,P22695,P22695,1,4.0
690,1182,Q9H2X3,Q9H2X3,1,4.0
691,1067,P04181,P04181,1,4.0
692,171,Q9H9B1,"Q9H9B1,Q96KQ7",2,4.0
693,1017,P16871,P16871,1,4.0
694,1131,P00558,P00558,1,4.0
695,436,Q9BZ11,Q9BZ11,1,4.0
696,1148,P16444,P16444,1,4.0
697,1150,Q16654,"Q16654,Q15120",2,4.0
698,1683,Q9BTP7,Q9BTP7,1,4.0
699,652,P18887,P18887,1,4.0
700,1041,Q9NR50,Q9NR50,1,4.0
701,7,Q9NZJ4,Q9NZJ4,1,4.0
702,372,P21399,P21399,1,4.0
703,175,Q96KN7,Q96KN7,1,4.0
704,1154,O14556,"O14556,P04406",2,4.0
705,1735,P17900,P17900,1,4.0
706,1567,O75489,O75489,1,4.0
707,1158,P15735,P15735,1,4.0
708,20,O75962,"O75962,Q86VW2",2,4.0
709,1699,O95843,O95843,1,4.0
710,420,Q8NEM0,Q8NEM0,1,4.0
711,1664,P04179,P04179,1,4.0
712,1028,P10826,P10826,1,4.0
713,473,Q99728,Q99728,1,4.0
714,371,O60741,"O60741,Q9UL51",2,4.0
715,469,P35222,"P35222,P14923",2,4.0
716,1140,Q8N136,Q8N136,1,4.0
717,43,Q92793,"Q92793,Q09472",2,4.0
718,1186,P07098,P07098,1,4.0
719,1649,Q96AZ1,"Q96AZ1,Q8WXB1",2,4.0
720,632,Q15397,Q15397,1,4.0
721,664,P43681,"P43681,Q15822,P02708",3,4.0
722,1517,P78345,P78345,1,4.0
723,1081,Q96Q11,Q96Q11,1,4.0
724,401,Q9HCS7,Q9HCS7,1,4.0
725,301,O00444,O00444,1,4.0
726,1220,P14598,P14598,1,4.0
727,651,Q9NUX5,Q9NUX5,1,4.0
728,2,O14686,O14686,1,4.0
729,1207,O15382,"O15382,P54687",2,4.0
730,298,Q96PU5,Q96PU5,1,4.0
731,126,Q9UBG0,"Q9UBG0,P22897",2,4.0
732,1230,P15309,P15309,1,4.0
733,392,Q05193,"Q05193,O00429",2,4.0
734,1235,Q96CB9,Q96CB9,1,4.0
735,931,Q92769,"Q92769,Q9BY41",2,4.0
736,165,O95271,"O95271,Q9H2K2",2,4.0
737,667,Q14397,Q14397,1,4.0
738,585,O75746,"O75746,Q9UJS0",2,4.0
739,1679,O43708,O43708,1,4.0
740,1526,O60671,O60671,1,4.0
741,601,P30203,P30203,1,4.0
742,320,Q05586,Q05586,1,4.0
743,1070,P26641,P26641,1,4.0
744,321,P11586,P11586,1,4.0
745,1737,P01588,P01588,1,4.0
746,416,Q99062,Q99062,1,4.0
747,985,Q9BX59,Q9BX59,1,4.0
748,1540,P28062,P28062,1,4.0
749,634,P53667,"P53667,P53671",2,4.0
750,1579,Q92506,"Q92506,Q9BUT1,Q8N4T8",3,4.0
751,1332,Q96BN8,Q96BN8,1,3.0
752,1059,Q7L5Y1,Q7L5Y1,1,3.0
753,1557,Q8WV22,Q8WV22,1,3.0
754,826,Q9HB96,Q9HB96,1,3.0
755,1084,P20061,P20061,1,3.0
756,1137,Q8TAX9,Q8TAX9,1,3.0
757,1098,O15554,O15554,1,3.0
758,1076,O43913,O43913,1,3.0
759,1039,Q92484,Q92484,1,3.0
760,1073,O43929,O43929,1,3.0
761,1314,Q02083,Q02083,1,3.0
762,1118,Q8TBX8,"Q8TBX8,P48426",2,3.0
763,1100,Q92466,Q92466,1,3.0
764,1317,Q15257,Q15257,1,3.0
765,244,Q9Y6K5,"Q9Y6K5,P00973",2,3.0
766,1080,Q15561,"Q15561,P28347",2,3.0
767,845,P21397,P21397,1,3.0
768,1320,P30533,P30533,1,3.0
769,841,O43278,O43278,1,3.0
770,156,Q13464,"Q13464,Q15208",2,3.0
771,1132,P37268,P37268,1,3.0
772,1189,Q96G97,Q96G97,1,3.0
773,1240,P21453,"P21453,Q92633",2,3.0
774,905,Q9Y6A2,Q9Y6A2,1,3.0
775,127,P01023,P01023,1,3.0
776,1224,Q9H488,Q9H488,1,3.0
777,1124,P14324,P14324,1,3.0
778,1236,Q9UBR1,Q9UBR1,1,3.0
779,180,O15357,O15357,1,3.0
780,916,P42785,"P42785,Q9UHL4",2,3.0
781,984,P49005,P49005,1,3.0
782,194,O00411,O00411,1,3.0
783,908,Q13557,"Q13557,Q16566",2,3.0
784,1215,P68400,"P68400,P19784",2,3.0
785,196,Q14562,"Q14562,O60231",2,3.0
786,822,Q6XQN6,Q6XQN6,1,3.0
787,963,O14757,O14757,1,3.0
788,962,Q9Y2Z4,Q9Y2Z4,1,3.0
789,221,P18206,P18206,1,3.0
790,1184,Q99551,Q99551,1,3.0
791,951,P58004,P58004,1,3.0
792,919,Q9NP87,Q9NP87,1,3.0
793,1126,P36955,P36955,1,3.0
794,858,Q8N5Y2,Q8N5Y2,1,3.0
795,1086,Q9NRG4,"Q9NRG4,Q9H7B4",2,3.0
796,992,Q9HBH9,"Q9HBH9,Q9BUB5",2,3.0
797,1152,Q9H3H5,Q9H3H5,1,3.0
798,1164,P00738,P00738,1,3.0
799,1185,Q9NTG7,Q9NTG7,1,3.0
800,1302,P54725,P54725,1,3.0
801,1159,Q9Y663,"Q9Y663,Q8IZT8,O14792",3,3.0
802,1301,Q9H777,Q9H777,1,3.0
803,102,O75581,O75581,1,3.0
804,1299,P50052,P50052,1,3.0
805,868,Q9BZK7,Q9BZK7,1,3.0
806,1551,P21964,P21964,1,3.0
807,1262,P36952,P36952,1,3.0
808,182,Q7L576,Q7L576,1,3.0
809,1157,Q93088,Q93088,1,3.0
810,216,Q9NSY1,Q9NSY1,1,3.0
811,930,Q658P3,"Q658P3,Q687X5",2,3.0
812,1021,P15169,"P15169,P14384",2,3.0
813,1161,P62195,P62195,1,3.0
814,1283,Q9BV20,Q9BV20,1,3.0
815,140,Q14191,Q14191,1,3.0
816,111,Q9ULG1,Q9ULG1,1,3.0
817,1237,P25929,"P25929,P50391",2,3.0
818,618,Q15256,"Q15256,P54829",2,3.0
819,55,Q92673,Q92673,1,3.0
820,1002,O75306,O75306,1,3.0
821,1180,P53602,P53602,1,3.0
822,1263,O14793,O14793,1,3.0
823,739,P30305,"P30305,P30307",2,3.0
824,1650,P16401,P16401,1,3.0
825,1334,Q7LG56,Q7LG56,1,3.0
826,1542,Q9H1Y0,Q9H1Y0,1,3.0
827,615,Q9NW15,Q9NW15,1,3.0
828,122,Q5JU85,"Q5JU85,Q6DN90",2,3.0
829,185,P14543,P14543,1,3.0
830,1531,Q9BTZ2,Q9BTZ2,1,3.0
831,1539,O15194,O15194,1,3.0
832,1541,Q9NQT5,Q9NQT5,1,3.0
833,595,Q13546,Q13546,1,3.0
834,628,Q14680,Q14680,1,3.0
835,588,P49848,P49848,1,3.0
836,1552,P01583,P01583,1,3.0
837,1558,P48060,P48060,1,3.0
838,1089,Q9UK39,Q9UK39,1,3.0
839,309,P36776,P36776,1,3.0
840,1592,Q13084,Q13084,1,3.0
841,723,Q96RR4,"Q96RR4,Q8N5S9",2,3.0
842,706,Q7Z628,Q7Z628,1,3.0
843,1616,Q8N1Q8,Q8N1Q8,1,3.0
844,1515,Q15475,Q15475,1,3.0
845,568,Q9UKM7,Q9UKM7,1,3.0
846,287,O43424,O43424,1,3.0
847,1433,P12271,P12271,1,3.0
848,73,P23468,"P23468,P23469",2,3.0
849,716,P31939,P31939,1,3.0
850,711,Q92990,Q92990,1,3.0
851,693,O75604,"O75604,Q9UK80",2,3.0
852,1576,P25789,"P25789,P60900",2,3.0
853,1507,O14732,"O14732,P29218",2,3.0
854,692,Q8WXI4,"Q8WXI4,Q8WYK0",2,3.0
855,688,Q9NUW8,Q9NUW8,1,3.0
856,1492,P13726,P13726,1,3.0
857,1497,Q86WA6,Q86WA6,1,3.0
858,297,O75460,O75460,1,3.0
859,300,Q15029,Q15029,1,3.0
860,714,Q15833,Q15833,1,3.0
861,1698,O00217,O00217,1,3.0
862,550,Q92542,Q92542,1,3.0
863,417,Q59H18,Q59H18,1,3.0
864,796,P54646,P54646,1,3.0
865,445,Q9NYL2,Q9NYL2,1,3.0
866,1748,Q9H0F7,"Q9H0F7,P36404,P18085",3,3.0
867,441,Q9Y2R2,Q9Y2R2,1,3.0
868,1716,P07360,P07360,1,3.0
869,448,Q8N608,"Q8N608,Q12884",2,3.0
870,421,Q99523,Q99523,1,3.0
871,459,P21580,P21580,1,3.0
872,463,Q16666,Q16666,1,3.0
873,1731,P55957,P55957,1,3.0
874,406,P20273,P20273,1,3.0
875,403,O60341,O60341,1,3.0
876,1761,P02511,P02511,1,3.0
877,1773,Q13323,Q13323,1,3.0
878,1693,Q16611,Q16611,1,3.0
879,336,Q9H0M0,"Q9H0M0,O00308",2,3.0
880,515,Q9UNA4,Q9UNA4,1,3.0
881,1584,O14593,O14593,1,3.0
882,570,Q53GS7,Q53GS7,1,3.0
883,434,O00423,O00423,1,3.0
884,777,P30038,P30038,1,3.0
885,1668,P59095,"P59095,Q9NSY2",2,3.0
886,1432,P43358,P43358,1,3.0
887,1627,Q9BUP3,Q9BUP3,1,3.0
888,466,Q8TCS8,Q8TCS8,1,3.0
889,1635,Q5VWZ2,"Q5VWZ2,O75608",2,3.0
890,501,P47712,P47712,1,3.0
891,492,P02786,P02786,1,3.0
892,571,Q96PX8,Q96PX8,1,3.0
893,1665,Q9BS40,Q9BS40,1,3.0
894,1528,O60921,O60921,1,3.0
895,753,P21589,P21589,1,3.0
896,752,Q9UGP5,"Q9UGP5,P06746",2,3.0
897,765,P14778,P14778,1,3.0
898,738,Q9GZU1,Q9GZU1,1,3.0
899,253,O75146,O75146,1,3.0
900,1420,Q8WXH4,Q8WXH4,1,3.0
901,1360,P21731,P21731,1,3.0
902,802,Q96NY9,Q96NY9,1,3.0
903,530,O00459,"O00459,P27986",2,3.0
904,1626,Q96GX9,Q96GX9,1,3.0
905,743,Q8NFG4,Q8NFG4,1,3.0
906,1404,Q9NUV9,"Q9NUV9,Q8NHV1",2,3.0
907,1390,Q16698,"Q16698,Q9BY49",2,3.0
908,726,Q8IXQ5,Q8IXQ5,1,3.0
909,1403,P13716,P13716,1,3.0
910,259,Q05397,"Q05397,Q14289",2,3.0
911,265,O15294,O15294,1,3.0
912,1377,Q15080,Q15080,1,3.0
913,1397,O14656,O14656,1,3.0
914,74,P21675,P21675,1,3.0
915,772,O75419,O75419,1,3.0
916,268,P42285,P42285,1,3.0
917,89,P52179,P52179,1,3.0
918,733,Q13740,Q13740,1,3.0
919,270,Q02246,Q02246,1,3.0
920,1424,Q13155,Q13155,1,3.0
921,90,P29400,P29400,1,3.0
922,1422,Q96KB5,Q96KB5,1,3.0
923,1430,P27695,P27695,1,3.0
924,1338,Q07820,Q07820,1,3.0
925,817,Q13478,Q13478,1,3.0
926,1717,P15018,P15018,1,2.0
927,1389,O94766,"O94766,Q9P2W7",2,2.0
928,109,O60486,O60486,1,2.0
929,1370,Q8N0X4,Q8N0X4,1,2.0
930,1376,Q8TBZ6,Q8TBZ6,1,2.0
931,1654,Q13637,"Q13637,P51149",2,2.0
932,1660,Q99720,Q99720,1,2.0
933,1661,P09936,P09936,1,2.0
934,1153,Q03154,Q03154,1,2.0
935,1316,O14745,O14745,1,2.0
936,1775,P63279,"P63279,P49459",2,2.0
937,1646,Q08623,Q08623,1,2.0
938,1765,P51970,P51970,1,2.0
939,1672,Q9Y296,Q9Y296,1,2.0
940,37,Q5S007,Q5S007,1,2.0
941,1151,Q13569,Q13569,1,2.0
942,91,Q149N8,Q149N8,1,2.0
943,1093,Q96P11,Q96P11,1,2.0
944,16,O60494,O60494,1,2.0
945,14,O15230,O15230,1,2.0
946,1634,P0C024,P0C024,1,2.0
947,1618,Q00059,Q00059,1,2.0
948,1168,Q15109,Q15109,1,2.0
949,1328,O95299,O95299,1,2.0
950,1166,P32929,P32929,1,2.0
951,1312,O15335,O15335,1,2.0
952,1163,Q9Y2U9,Q9Y2U9,1,2.0
953,1644,Q9BU02,Q9BU02,1,2.0
954,1380,P59534,P59534,1,2.0
955,1640,Q8IWL3,Q8IWL3,1,2.0
956,1625,Q9H3S4,Q9H3S4,1,2.0
957,1776,P36639,P36639,1,2.0
958,1643,Q92730,"Q92730,O00212",2,2.0
959,1641,P01375,P01375,1,2.0
960,1366,Q9GZT4,Q9GZT4,1,2.0
961,1744,P05090,P05090,1,2.0
962,146,O15550,O15550,1,2.0
963,1309,Q96QE5,Q96QE5,1,2.0
964,1480,Q9HBL8,Q9HBL8,1,2.0
965,1147,Q9ULX3,Q9ULX3,1,2.0
966,1721,P26441,P26441,1,2.0
967,152,Q9ULK4,Q9ULK4,1,2.0
968,1099,Q9Y606,Q9Y606,1,2.0
969,1727,O43745,O43745,1,2.0
970,1120,Q01344,Q01344,1,2.0
971,1358,Q9BQP7,Q9BQP7,1,2.0
972,1115,P09543,P09543,1,2.0
973,1357,Q9UJ70,Q9UJ70,1,2.0
974,1112,Q9BZE1,Q9BZE1,1,2.0
975,1739,Q07812,Q07812,1,2.0
976,1722,Q16878,Q16878,1,2.0
977,1745,P01563,P01563,1,2.0
978,1740,Q99828,Q99828,1,2.0
979,1326,P27169,P27169,1,2.0
980,100,Q13796,Q13796,1,2.0
981,1681,P09429,P09429,1,2.0
982,1711,Q6P1K2,Q6P1K2,1,2.0
983,1589,P15328,P15328,1,2.0
984,1723,P20809,P20809,1,2.0
985,143,Q86US8,Q86US8,1,2.0
986,1688,P05231,P05231,1,2.0
987,1756,P09466,P09466,1,2.0
988,8,P98160,P98160,1,2.0
989,1692,Q9UI95,Q9UI95,1,2.0
990,1365,Q9Y376,"Q9Y376,Q9H9S4",2,2.0
991,1364,Q96C23,Q96C23,1,2.0
992,1759,Q9UHD0,"Q9UHD0,Q9NYY1",2,2.0
993,1602,Q9NX20,Q9NX20,1,2.0
994,1684,Q92882,Q92882,1,2.0
995,1704,Q13007,Q13007,1,2.0
996,1096,Q14653,Q14653,1,2.0
997,1136,Q9UQV4,Q9UQV4,1,2.0
998,1135,P15151,P15151,1,2.0
999,1707,Q9Y5Z4,Q9Y5Z4,1,2.0
1000,1361,P25105,P25105,1,2.0
1001,1266,P35247,P35247,1,2.0
1002,1392,Q13291,Q13291,1,2.0
1003,1703,P09919,P09919,1,2.0
1004,160,O75129,O75129,1,2.0
1005,1508,Q9GZN7,Q9GZN7,1,2.0
1006,1774,P24666,P24666,1,2.0
1007,1484,Q9NWX6,Q9NWX6,1,2.0
1008,1493,P08865,P08865,1,2.0
1009,1091,P00505,P00505,1,2.0
1010,1490,P53004,P53004,1,2.0
1011,1494,Q9P0N9,Q9P0N9,1,2.0
1012,1495,P30281,P30281,1,2.0
1013,1489,Q9H3L0,Q9H3L0,1,2.0
1014,1499,P29084,P29084,1,2.0
1015,1474,Q96PS8,Q96PS8,1,2.0
1016,1229,P53582,P53582,1,2.0
1017,1418,P36873,"P36873,P67775",2,2.0
1018,65,Q92621,Q92621,1,2.0
1019,1503,O00625,O00625,1,2.0
1020,1278,Q8N3J5,Q8N3J5,1,2.0
1021,1505,Q6PHW0,Q6PHW0,1,2.0
1022,77,Q92608,Q92608,1,2.0
1023,1203,Q5T8I9,Q5T8I9,1,2.0
1024,1500,Q15024,Q15024,1,2.0
1025,1479,Q9H9Q4,Q9H9Q4,1,2.0
1026,1231,Q6NVY1,Q6NVY1,1,2.0
1027,1469,P09486,P09486,1,2.0
1028,1443,P05198,P05198,1,2.0
1029,1426,Q92820,Q92820,1,2.0
1030,1442,P0C870,P0C870,1,2.0
1031,1456,P22748,P22748,1,2.0
1032,1256,P26951,P26951,1,2.0
1033,72,Q9UPY3,Q9UPY3,1,2.0
1034,1269,Q9NPI8,Q9NPI8,1,2.0
1035,1272,Q96G91,Q96G91,1,2.0
1036,1454,Q6FI81,Q6FI81,1,2.0
1037,114,Q96QB1,Q96QB1,1,2.0
1038,1449,Q8WWA0,Q8WWA0,1,2.0
1039,1468,Q9UBR2,Q9UBR2,1,2.0
1040,1453,O00764,O00764,1,2.0
1041,1248,Q96DV4,Q96DV4,1,2.0
1042,1458,Q9NXA8,Q9NXA8,1,2.0
1043,1446,Q16836,Q16836,1,2.0
1044,1455,Q9UJJ7,Q9UJJ7,1,2.0
1045,1462,Q14232,Q14232,1,2.0
1046,57,P11277,P11277,1,2.0
1047,1512,O60930,O60930,1,2.0
1048,1560,A4D2B0,A4D2B0,1,2.0
1049,1563,Q9BQ65,Q9BQ65,1,2.0
1050,1191,Q8WU08,Q8WU08,1,2.0
1051,1292,P52788,P52788,1,2.0
1052,1190,P27930,P27930,1,2.0
1053,1399,Q9H9J2,Q9H9J2,1,2.0
1054,1554,Q9BPX1,Q9BPX1,1,2.0
1055,104,O75140,O75140,1,2.0
1056,44,P02549,P02549,1,2.0
1057,85,P08572,P08572,1,2.0
1058,1566,P28070,P28070,1,2.0
1059,1569,Q969J5,Q969J5,1,2.0
1060,82,Q07157,Q07157,1,2.0
1061,138,Q12769,Q12769,1,2.0
1062,1396,Q53FA7,Q53FA7,1,2.0
1063,1394,Q9NZL9,Q9NZL9,1,2.0
1064,1511,P46952,P46952,1,2.0
1065,1216,Q9H3M7,Q9H3M7,1,2.0
1066,1178,O00300,O00300,1,2.0
1067,1402,Q9BUD6,Q9BUD6,1,2.0
1068,132,P09884,P09884,1,2.0
1069,1280,Q9UN36,Q9UN36,1,2.0
1070,1206,Q6IQ20,Q6IQ20,1,2.0
1071,1214,O14717,O14717,1,2.0
1072,59,O43157,O43157,1,2.0
1073,1415,P08574,P08574,1,2.0
1074,80,Q9Y6D5,Q9Y6D5,1,2.0
1075,1549,O43741,"O43741,Q9Y478",2,2.0
1076,1409,P29460,P29460,1,2.0
1077,1588,P12319,P12319,1,2.0
1078,1205,Q9BWS9,Q9BWS9,1,2.0
1079,1543,P13598,P13598,1,2.0
1080,1408,Q9UBQ7,Q9UBQ7,1,2.0
1081,1488,Q15274,Q15274,1,2.0
1082,1533,Q16740,Q16740,1,2.0
1083,1537,Q96B26,Q96B26,1,2.0
1084,96,Q9Y6N7,Q9Y6N7,1,2.0
1085,1125,O14929,O14929,1,2.0
1086,135,P43146,P43146,1,2.0
1087,255,P22314,P22314,1,2.0
1088,913,O60729,O60729,1,2.0
1089,863,Q70CQ3,Q70CQ3,1,2.0
1090,1196,Q9H5Q4,Q9H5Q4,1,2.0
1091,388,Q96F46,Q96F46,1,2.0
1092,1777,Q9BVJ7,Q9BVJ7,1,2.0
1093,1090,Q7RTN6,Q7RTN6,1,2.0
1094,768,Q9BRS2,Q9BRS2,1,2.0
1095,935,Q9UNF0,Q9UNF0,1,2.0
1096,914,Q9NXN4,Q9NXN4,1,2.0
1097,770,O43189,O43189,1,2.0
1098,476,P47897,P47897,1,2.0
1099,477,Q6PCD5,Q6PCD5,1,2.0
1100,776,Q8WYA6,Q8WYA6,1,2.0
1101,480,P05067,"P05067,P51693",2,2.0
1102,778,Q9Y6K8,"Q9Y6K8,P00568",2,2.0
1103,261,O75385,O75385,1,2.0
1104,369,Q8IVH8,"Q8IVH8,Q92918",2,2.0
1105,475,Q6P3S1,Q6P3S1,1,2.0
1106,329,O14936,"O14936,Q00013",2,2.0
1107,912,Q8WWY3,Q8WWY3,1,2.0
1108,455,P23921,P23921,1,2.0
1109,780,P49902,P49902,1,2.0
1110,783,O75914,"O75914,Q13153",2,2.0
1111,911,Q12834,Q12834,1,2.0
1112,784,P35052,P35052,1,2.0
1113,367,P32927,P32927,1,2.0
1114,366,Q8NI77,Q8NI77,1,2.0
1115,788,P17181,P17181,1,2.0
1116,937,Q9UHN1,Q9UHN1,1,2.0
1117,468,P19447,P19447,1,2.0
1118,749,P28039,P28039,1,2.0
1119,767,O95470,O95470,1,2.0
1120,604,Q96EP1,Q96EP1,1,2.0
1121,198,Q15393,Q15393,1,2.0
1122,603,Q14807,Q14807,1,2.0
1123,453,P09958,P09958,1,2.0
1124,199,P55201,P55201,1,2.0
1125,200,Q9UNS1,Q9UNS1,1,2.0
1126,202,Q9HAV4,Q9HAV4,1,2.0
1127,958,O75688,"O75688,P35813",2,2.0
1128,299,Q86UT6,Q86UT6,1,2.0
1129,558,Q9H4Z3,Q9H4Z3,1,2.0
1130,596,O76094,O76094,1,2.0
1131,458,Q09161,Q09161,1,2.0
1132,950,P11172,P11172,1,2.0
1133,758,P10809,P10809,1,2.0
1134,374,Q3SYG4,Q3SYG4,1,2.0
1135,457,Q9HAQ2,Q9HAQ2,1,2.0
1136,762,Q96AY2,Q96AY2,1,2.0
1137,766,Q8TBZ3,Q8TBZ3,1,2.0
1138,256,P52732,P52732,1,2.0
1139,331,O95786,O95786,1,2.0
1140,895,Q15750,Q15750,1,2.0
1141,226,Q9UPN9,Q9UPN9,1,2.0
1142,565,Q9H0J9,Q9H0J9,1,2.0
1143,857,Q9BYI3,Q9BYI3,1,2.0
1144,534,Q99661,Q99661,1,2.0
1145,1199,Q13888,Q13888,1,2.0
1146,456,Q8WXE1,Q8WXE1,1,2.0
1147,535,P08238,P08238,1,2.0
1148,949,P31930,P31930,1,2.0
1149,836,Q9H816,Q9H816,1,2.0
1150,816,P48643,P48643,1,2.0
1151,557,Q969R5,Q969R5,1,2.0
1152,539,Q9NZQ3,Q9NZQ3,1,2.0
1153,848,Q9BZZ5,Q9BZZ5,1,2.0
1154,844,P54577,P54577,1,2.0
1155,842,P16662,P16662,1,2.0
1156,337,A0FGR8,A0FGR8,1,2.0
1157,853,P37198,P37198,1,2.0
1158,543,Q9UH99,Q9UH99,1,2.0
1159,561,Q12931,Q12931,1,2.0
1160,549,P48147,P48147,1,2.0
1161,247,P56524,P56524,1,2.0
1162,823,Q9HBE5,Q9HBE5,1,2.0
1163,340,P39086,"P39086,Q13002",2,2.0
1164,203,Q6P1X5,Q6P1X5,1,2.0
1165,566,Q16820,Q16820,1,2.0
1166,245,Q96PY5,Q96PY5,1,2.0
1167,525,P13010,P13010,1,2.0
